article_id	n_comments
000026	0
000042	0
000075	0
000091	0
000109	0
000125	0
000208	0
000216	1
000224	2
000240	0
000257	0
000265	0
000307	0
000315	1
000349	0
000364	0
000380	0
000398	0
000406	0
000414	0
000422	2
000430	0
000448	2
000455	0
000489	0
000497	0
000513	0
000521	0
000547	1
000562	0
000570	1
000588	0
000604	0
000638	0
000653	0
000661	0
000679	0
000687	3
000711	2
000745	0
000752	1
000760	0
000778	0
000786	9
000844	0
000851	0
000869	0
000885	0
000893	0
000919	0
000927	3
000968	0
000992	0
001008	0
001016	0
001024	0
001032	0
001040	0
001065	0
001099	0
001107	0
001123	0
001156	0
001172	0
001198	0
001214	3
001230	0
001255	0
001263	0
001289	0
001297	2
001305	0
001321	0
001347	0
001354	0
001370	0
001396	0
001404	0
001438	0
001446	0
001453	0
001461	0
001487	0
001495	0
001511	0
001529	0
001537	0
001545	0
001552	3
001586	0
001594	0
001602	0
001610	0
001636	0
001651	0
001669	0
001677	0
001685	0
001693	0
001701	0
001727	0
001735	0
001750	1
001784	0
001826	0
001834	0
001867	0
001875	0
001883	0
001891	0
001909	1
001925	0
001933	0
001941	0
001958	0
001974	0
001990	0
002006	0
002014	0
002022	0
002055	0
002063	0
002071	0
002089	0
002097	0
002105	3
002121	1
002139	0
002147	0
002188	0
002196	0
002238	1
002279	0
002287	0
002295	0
002303	0
002311	0
002329	0
002337	0
002345	0
002352	0
002360	0
002378	0
002386	0
002410	0
002428	1
002436	0
002451	0
002485	1
002493	0
002501	0
002519	0
002527	0
002550	0
002576	0
002584	0
002618	0
002626	0
002634	1
002642	0
002659	0
002667	0
002675	0
002683	1
002691	2
002709	0
002717	0
002725	2
002741	0
002766	0
002782	0
002790	0
002808	0
002816	0
002824	0
002832	1
002881	0
002899	0
002923	0
002931	0
002956	2
002964	2
002972	0
002980	0
002998	2
003004	0
003053	0
003087	0
003095	0
003111	0
003129	0
003137	0
003145	0
003160	0
003178	0
003186	0
003194	0
003202	0
003210	0
003236	0
003244	2
003251	0
003269	0
003285	0
003319	0
003327	0
003368	0
003384	0
003400	0
003475	0
003483	0
003491	0
003525	0
003533	0
003558	1
003608	2
003616	0
003624	0
003657	1
003665	0
003673	0
003723	0
003756	0
003764	0
003772	0
003780	0
003806	0
003848	0
003863	0
003871	0
003889	0
003897	0
003905	0
003913	0
003921	0
003939	0
003988	0
004002	0
004010	0
004028	0
004036	0
004119	0
004127	1
004176	0
004184	0
004192	0
004218	0
004226	0
004242	0
004259	0
004267	0
004283	0
004291	0
004309	0
004317	2
004325	0
004341	0
004366	0
004374	0
004382	0
004390	0
004416	0
004424	0
004432	0
004457	0
004473	0
004481	2
004507	0
004556	0
004564	0
004572	1
004580	0
004614	0
004622	0
004648	0
004655	0
004663	0
004671	0
004689	0
004713	0
004739	0
004747	0
004762	0
004788	3
004796	0
004804	0
004820	0
004846	0
004853	0
004861	0
004887	0
004895	0
004903	0
004911	0
004960	0
004978	0
004986	0
004994	0
005009	0
005017	0
005025	0
005033	0
005041	0
005058	0
005066	0
005074	1
005082	0
005090	0
005124	0
005140	0
005165	3
005173	0
005181	0
005207	7
005215	0
005223	0
005231	0
005249	0
005256	0
005264	1
005298	0
005314	0
005322	0
005330	0
005348	0
005355	0
005363	0
005371	0
005397	0
005405	0
005413	0
005421	0
005439	0
005447	0
005454	0
005462	0
005470	0
005496	0
005504	0
005512	0
005538	0
005546	0
005553	7
005561	0
005579	1
005587	0
005603	0
005611	0
005629	0
005637	0
005645	0
005652	2
005660	0
005686	0
005694	0
005702	0
005710	1
005728	0
005736	0
005751	0
005777	0
005793	0
005819	0
005835	0
005850	1
005868	0
005876	0
005892	1
005900	0
005918	0
005926	3
005934	0
005942	0
005967	0
005983	2
005991	0
006015	0
006023	0
006031	0
006049	0
006056	0
006064	0
006072	0
006080	0
006098	0
006106	0
006122	2
006130	0
006148	0
006155	0
006163	0
006171	0
006205	0
006213	0
006221	0
006247	0
006270	1
006288	0
006312	0
006338	0
006346	0
006353	0
006361	0
006387	0
006395	0
006403	0
006411	1
006437	0
006445	0
006452	0
006478	0
006486	0
006510	0
006544	0
006551	0
006569	0
006577	0
006585	0
006593	0
006601	0
006619	0
006627	1
006635	1
006643	0
006650	0
006676	0
006684	0
006692	0
006700	0
006726	0
006734	0
006742	0
006775	0
006783	0
006791	0
006809	1
006817	1
006825	7
006833	1
006841	0
006866	0
006890	0
006908	0
006916	0
006924	0
006932	0
006940	0
006965	0
006973	0
006981	0
006999	0
007005	0
007021	0
007039	0
007047	0
007054	0
007062	0
007088	0
007096	0
007112	0
007120	0
007153	0
007161	0
007187	11
007203	0
007211	0
007229	0
007237	0
007252	1
007260	0
007278	0
007294	0
007310	0
007336	0
007344	0
007351	0
007369	0
007377	0
007385	0
007393	0
007401	1
007419	1
007427	3
007435	0
007443	0
007450	0
007468	0
007476	1
007484	0
007492	2
007500	0
007518	0
007526	1
007542	2
007559	0
007567	0
007575	0
007583	0
007591	0
007609	0
007617	0
007625	0
007633	0
007641	0
007658	0
007666	0
007674	0
007682	0
007690	0
007708	0
007716	0
007724	0
007732	0
007740	0
007757	0
007765	0
007773	0
007781	1
007799	0
007807	0
007823	0
007831	6
007849	0
007864	0
007898	0
007906	0
007914	0
007922	1
007930	0
007948	0
007955	0
007963	0
007971	0
008003	2
008011	0
008029	0
008037	0
008052	0
008078	0
008110	0
008128	0
008136	0
008144	3
008151	0
008169	0
008177	0
008185	0
008193	0
008201	1
008219	0
008227	0
008235	0
008250	2
008268	0
008276	0
008284	2
008318	0
008326	0
008342	0
008359	0
008367	0
008375	0
008383	0
008409	0
008417	1
008425	3
008433	0
008458	0
008466	0
008474	0
008482	0
008490	2
008508	0
008516	0
008524	0
008532	0
008540	0
008557	0
008565	1
008581	0
008607	0
008615	0
008623	0
008631	0
008649	0
008656	0
008664	0
008672	0
008680	0
008698	3
008706	0
008714	0
008730	0
008748	0
008755	0
008763	0
008771	0
008789	0
008797	1
008805	0
008813	0
008821	0
008839	0
008847	0
008854	0
008862	0
008896	0
008904	0
008912	0
008920	0
008938	4
008946	0
008953	1
008961	0
008979	0
008987	0
008995	0
009001	0
009027	1
009068	0
009084	0
009092	1
009100	0
009126	0
009134	2
009175	1
009183	0
009191	0
009209	0
009217	0
009225	0
009258	0
009274	0
009282	0
009290	0
009308	1
009332	0
009340	3
009357	0
009365	0
009373	0
009407	0
009423	3
009431	0
009449	0
009456	0
009464	0
009472	0
009480	0
009498	0
009506	0
009522	0
009548	0
009555	0
009563	0
009571	0
009589	0
009597	0
009613	1
009654	0
009670	0
009688	0
009696	0
009720	0
009746	0
009753	0
009761	0
009795	1
009803	0
009811	0
009829	0
009837	0
009845	0
009878	0
009886	0
009894	0
009902	0
009928	1
009936	0
009944	0
009951	0
009969	0
009977	1
009985	0
009993	0
010009	0
010017	0
010033	0
010041	0
010058	0
010066	0
010074	1
010082	0
010090	0
010116	0
010124	0
010132	0
010140	0
010165	0
010173	0
010181	0
010199	0
010207	0
010215	0
010231	0
010249	0
010256	0
010314	1
010322	0
010330	0
010348	1
010355	0
010363	0
010371	0
010389	0
010397	0
010405	0
010413	0
010488	0
010496	0
010504	0
010512	1
010520	0
010538	0
010546	7
010553	0
010561	0
010587	0
010595	2
010603	0
010611	0
010629	0
010637	0
010645	0
010652	0
010686	0
010702	0
010710	0
010728	0
010751	0
010769	1
010777	0
010785	0
010793	0
010801	0
010819	0
010835	0
010843	0
010850	0
010868	0
010876	0
010884	0
010900	0
010918	0
010926	0
010934	0
010942	0
010959	0
010967	0
010975	0
010983	0
010991	1
011007	1
011023	0
011031	0
011049	0
011056	0
011064	0
011072	0
011080	0
011106	0
011122	0
011130	2
011171	0
011189	0
011197	1
011205	0
011213	0
011221	3
011247	0
011262	1
011270	0
011288	0
011296	0
011304	0
011320	0
011346	0
011353	0
011361	0
011379	0
011403	1
011411	0
011429	1
011486	0
011502	0
011510	0
011536	0
011569	0
011577	1
011601	0
011635	0
011676	0
011684	0
011692	0
011700	0
011718	0
011734	0
011742	0
011759	0
011767	0
011775	0
011783	1
011791	0
011809	0
011817	0
011833	0
011841	0
011858	0
011866	0
011882	0
011890	0
011916	0
011932	0
011940	0
011957	0
011965	0
011973	0
011999	0
012005	0
012013	0
012021	0
012070	0
012104	1
012112	0
012138	0
012161	0
012179	0
012195	0
012211	0
012229	0
012237	0
012260	0
012278	0
012310	3
012344	0
012369	0
012385	0
012393	0
012401	0
012435	0
012443	0
012468	0
012476	0
012492	0
012500	0
012518	0
012526	0
012534	0
012542	1
012559	0
012567	0
012583	0
012591	0
012609	0
012617	0
012625	0
012641	0
012658	0
012666	1
012682	0
012690	0
012708	0
012716	0
012732	0
012740	0
012757	0
012799	0
012807	0
012815	0
012823	0
012831	0
012849	0
012856	0
012864	0
012872	0
012880	0
012906	0
012914	0
012922	0
012930	0
012955	0
012963	0
012971	0
012989	0
012997	0
013003	0
013011	0
013029	0
013037	0
013045	0
013052	0
013078	0
013086	0
013110	1
013128	0
013136	0
013144	0
013151	0
013169	0
013177	0
013185	1
013201	0
013227	0
013243	0
013250	0
013268	0
013276	2
013284	0
013318	0
013326	0
013334	0
013342	0
013359	0
013367	0
013375	0
013383	0
013417	0
013425	0
013433	11
013441	1
013458	0
013474	0
013482	0
013490	1
013508	0
013516	1
013532	0
013540	0
013573	0
013581	0
013599	0
013607	0
013615	0
013623	0
013631	0
013649	0
013656	0
013664	0
013672	0
013680	0
013698	0
013706	0
013714	0
013722	0
013730	1
013755	0
013763	0
013771	0
013789	0
013797	0
013805	0
013813	0
013821	0
013839	0
013847	0
013854	0
013862	0
013870	0
013888	2
013896	0
013904	8
013912	0
013920	0
013938	0
013946	0
013953	0
013961	3
013979	0
013987	0
013995	0
014001	0
014019	0
014027	0
014035	0
014043	0
014050	1
014068	0
014076	0
014092	0
014100	0
014118	0
014126	3
014134	0
014142	1
014159	0
014167	0
014175	0
014183	0
014209	0
014217	0
014225	0
014233	0
014241	1
014258	0
014274	0
014282	0
014290	0
014308	0
014316	0
014324	0
014340	0
014357	0
014365	0
014373	0
014381	0
014399	0
014407	0
014415	0
014423	0
014431	0
014449	0
014456	0
014464	0
014472	0
014498	2
014514	0
014522	0
014530	2
014548	0
014563	0
014571	0
014589	0
014605	0
014613	0
014639	0
014647	0
014654	0
014662	0
014688	0
014696	0
014704	0
014720	0
014738	0
014779	1
014787	0
014795	1
014803	0
014811	0
014829	0
014837	0
014845	0
014852	0
014886	0
014894	0
014902	0
014910	0
014928	0
014936	0
014944	0
014951	0
014977	0
014985	0
014993	0
015008	1
015016	0
015032	0
015040	0
015057	0
015065	0
015099	0
015107	0
015115	0
015123	0
015131	0
015149	0
015156	0
015164	0
015172	0
